"District IRN","District Name","County","Region","Address","City and Zip Code","Phone #","Superintendent","Four Year Longitudinal Graduation Rate - Class of 2016","Letter Grade of 4 year Graduation Rate 2016","Four Year Graduation Rate Numerator - Class of 2016","Four Year Graduation Rate Denominator - Class of 2016","Four Year Graduation Rate - Similar District Average","Four Year Graduation Rate - Statewide Average","Watermark"
"049130","Scioto Valley Local","Pike","Region 15","PO Box 600","Piketon, OH, 45661-0600","(740) 289-4456","Todd A. Burkitt","84.9","C","101","119","93.4","83.6",""
"049148","Waverly City","Pike","Region 15","1 Tiger Dr","Waverly, OH, 45690-8704","(740) 947-4770","John E. Dickens","86.9","C","126","145","89.6","83.6",""
"049155","Western Local","Pike","Region 15","PO Box 130","Latham, OH, 45646-0130","(740) 493-3113","Brock D. Brewster","77.4","F","41","53","89.6","83.6",""
"049171","Aurora City","Portage","Region 8","102 E Garfield Rd","Aurora, OH, 44202-8854","(330) 562-6106","Pat R. Ciccantelli","97.3","A","249","256","96.0","83.6",""
"049189","Crestwood Local","Portage","Region 8","11260 Bowen Rd","Mantua, OH, 44255-9454","(330) 357-8206","David M. Toth","93.1","A","163","175","95.0","83.6",""
"049197","Field Local","Portage","Region 8","2900 State Route 43","Mogadore, OH, 44260-9715","(330) 673-2659","David O. Heflinger","90.6","B","154","170","93.9","83.6",""
"049205","James A Garfield Local","Portage","Region 8","10235 State Route 88","Garrettsville, OH, 44231-9205","(330) 527-4336","Ted A. Lysiak","94.8","A","110","116","94.7","83.6",""
"049213","Rootstown Local","Portage","Region 8","4140 State Route 44","Rootstown, OH, 44272-9697","(330) 325-9911","Andrew A. Hawkins","92.8","B","90","97","95.7","83.6",""
"049221","Southeast Local","Portage","Region 8","8245 Tallmadge Rd","Ravenna, OH, 44266-8547","(330) 654-5841","Robert C. Dunn","91.7","B","132","144","94.2","83.6",""
"049239","Streetsboro City","Portage","Region 8","9000 Kirby Ln","Streetsboro, OH, 44241-1725","(330) 626-4900","Richard M. Daulbaugh","92.2","B","141","153","93.5","83.6",""
"049247","Waterloo Local","Portage","Region 8","1464 Industry Rd","Atwater, OH, 44201-9349","(330) 947-2664","Shawn M. Braman","95.8","A","91","95","94.3","83.6",""
"049270","National Trail Local","Preble","Region 10","6940 Oxford Gettysburg Rd","New Paris, OH, 45347-9065","(937) 437-3333","Jeff J. Parker","100.0","A","62","62","93.0","83.6",""
"049288","Preble Shawnee Local","Preble","Region 10","124 Bloomfield St","Camden, OH, 45311-1154","(937) 452-1283","Matt M. Bishop","87.1","C","88","101","93.3","83.6",""
"049296","Twin Valley Community Local","Preble","Region 10","100 Education Dr","West Alexandria, OH, 45381-1184","(937) 839-4688","Robert O. Fischer","97.3","A","72","74","93.5","83.6",""
"049312","Columbus Grove Local","Putnam","Region 1","201 W Cross St","Columbus Grove, OH, 45830-1237","(419) 659-2639","George N. Verhoff","100.0","A","81","81","95.1","83.6",""
"049320","Continental Local","Putnam","Region 1","5211 State Route 634","Continental, OH, 45831-9155","(419) 596-3671","Danny F. Kissell","94.7","A","36","38","94.2","83.6",""
"049338","Jennings Local","Putnam","Region 1","PO Box 98","Fort Jennings, OH, 45844-0098","(419) 286-2238","Nicholas T. Langhals","100.0","A","32","32","96.5","83.6",""
"049346","Kalida Local","Putnam","Region 1","PO Box 269","Kalida, OH, 45853-0269","(419) 532-3534","Karl D. Lammers","96.5","A","55","57","95.0","83.6",""
"049353","Leipsic Local","Putnam","Region 1","232 Oak St","Leipsic, OH, 45856-1312","(419) 943-2165","Greg A. Williamson","98.2","A","55","56","91.9","83.6",""
"049361","Miller City-New Cleveland Local","Putnam","Region 1","PO Box 38","Miller City, OH, 45864-0038","(419) 876-3172","Kerry D. Johnson","100.0","A","34","34","97.8","83.6",""
"049379","Ottawa-Glandorf Local","Putnam","Region 1","630 Glendale Ave","Ottawa, OH, 45875-1162","(419) 523-5261","Donald T. Horstman","97.0","A","129","133","95.0","83.6",""
"049387","Ottoville Local","Putnam","Region 1","PO Box 248","Ottoville, OH, 45876-0248","(419) 453-3356","Scott J. Mangas","100.0","A","24","24","96.0","83.6",""
"049395","Pandora-Gilboa Local","Putnam","Region 1","410 Rocket Ridge","Pandora, OH, 45877-0389","(419) 384-3227","R. Todd T. Schmutz","93.3","A","42","45","96.8","83.6",""
"049411","Clear Fork Valley Local","Richland","Region 7","92 Hines Ave","Bellville, OH, 44813-1232","(419) 886-3855","Janice J. Wyckoff","97.0","A","130","134","94.2","83.6",""
"049429","Crestview Local","Richland","Region 7","1575 State Route 96","Ashland, OH, 44805-9262","(419) 895-1700","Larry R. Dunlap","98.8","A","85","86","93.8","83.6",""
"049437","Lexington Local","Richland","Region 7","103 Clever Ln","Lexington, OH, 44904-1209","(419) 884-2132","James M. Ziegelhofer","95.6","A","172","180","94.2","83.6",""
"049445","Lucas Local","Richland","Region 7","84 Lucas North Rd","Lucas, OH, 44843-9532","(419) 892-2338","Bradley A. Herman","93.9","A","46","49","95.5","83.6",""
"049452","Madison Local","Richland","Region 7","1379 Grace St","Mansfield, OH, 44905-2742","(419) 589-2600","Shelley L. Hilderbrand","90.3","B","186","206","90.9","83.6",""
"049460","Plymouth-Shiloh Local","Richland","Region 7","365 Sandusky St","Plymouth, OH, 44865-1135","(419) 687-4733","James E. Metcalf","96.8","A","61","63","92.2","83.6",""
"049478","Ontario Local","Richland","Region 7","457 Shelby Ontario Rd","Mansfield, OH, 44906-1029","(419) 747-4311","Lisa A. Carmichael","98.6","A","142","144","92.5","83.6",""
"049494","Adena Local","Ross","Region 15","3367 County Road 550","Frankfort, OH, 45628-9503","(740) 998-4633","John W. Balzer","93.7","A","74","79","93.6","83.6",""
"049502","Huntington Local","Ross","Region 15","188 Huntsman Rd","Chillicothe, OH, 45601-9378","(740) 663-5892","Peter T. Ruby","83.5","D","91","109","89.7","83.6",""
"049510","Paint Valley Local","Ross","Region 15","7454 Us Highway 50 W","Bainbridge, OH, 45612-9708","(740) 634-2826","Timothy J. Winland","85.7","C","60","70","92.8","83.6",""
"049528","Southeastern Local","Ross","Region 15","2003 Lancaster Rd","Chillicothe, OH, 45601-8213","(740) 774-2003","Brian Justice","89.7","B","87","97","93.4","83.6",""
"049536","Union-Scioto Local","Ross","Region 15","1565 Egypt Pike","Chillicothe, OH, 45601-3974","(740) 773-4102","Matthew G. Thornsberry","93.5","A","144","154","93.0","83.6",""
"049544","Zane Trace Local","Ross","Region 15","946 State Route 180","Chillicothe, OH, 45601-8141","(740) 775-1355","Jerry L. Mowery","95.7","A","112","117","93.8","83.6",""
"049569","Lakota Local","Sandusky","Region 1","5200 County Road 13","Kansas, OH, 44841-9617","(419) 986-6650","Chad D. Coffman","97.4","A","74","76","94.7","83.6","K-3 Literacy data may be incomplete due to local reporting error. Contact district for more information."
"049577","Woodmore Local","Sandusky","Region 1","349 Rice St","Elmore, OH, 43416-9404","(419) 862-1060","Timothy S. Rettig","96.6","A","84","87","95.4","83.6",""
"049593","Bloom-Vernon Local","Scioto","Region 15","PO Box 237","South Webster, OH, 45682-0237","(740) 778-2281","Marc L. Kreischer","100.0","A","42","42","93.5","83.6",""
"049601","Clay Local","Scioto","Region 15","44 Clay High St","Portsmouth, OH, 45662-8817","(740) 354-6645","William T. Warnock","95.5","A","42","44","93.2","83.6",""
"049619","Green Local","Scioto","Region 15","4070 Gallia Pike","Franklin Furnace, OH, 45629-8889","(740) 354-9221","Jodi B. Armstrong","88.9","C","32","36","93.0","83.6",""
"049627","Minford Local","Scioto","Region 15","PO Box 204","Minford, OH, 45653-0204","(740) 820-3896","Jeremy A. Litteral","93.4","A","113","121","93.2","83.6",""
"049635","Northwest Local","Scioto","Region 15","800 Mohawk Dr","Mc Dermott, OH, 45652-9000","(740) 259-5558","Anthony T. Jenkins","98.4","A","120","122","89.8","83.6",""
"049643","Valley Local","Scioto","Region 15","1821 State Route 728","Lucasville, OH, 45648-8510","(740) 259-3115","Jeffrey S. Rolfe","98.8","A","81","82","93.2","83.6",""
"049650","Washington-Nile Local","Scioto","Region 15","15332 Us Highway 52","West Portsmouth, OH, 45663-9093","(740) 858-1111","Donald J. Stricklett","97.2","A","105","108","93.2","83.6",""
"049668","Wheelersburg Local","Scioto","Region 15","PO Box 340","Wheelersburg, OH, 45694-0340","(740) 574-8484","Mark W. Knapp","97.2","A","106","109","93.9","83.6",""
"049684","Seneca East Local","Seneca","Region 7","13343 E US Highway 224","Attica, OH, 44807-9301","(419) 426-7041","Laura A. Kagy","100.0","A","77","77","94.9","83.6",""
"049700","Hopewell-Loudon Local","Seneca","Region 7","PO Box 400","Bascom, OH, 44809-0400","(419) 937-2216","David R. Alvarado","96.8","A","61","63","94.5","83.6",""
"049718","New Riegel Local","Seneca","Region 7","44 N Perry St","New Riegel, OH, 44853-9776","(419) 595-2265","David A. Rombach","100.0","A","25","25","96.4","83.6",""
"049726","Old Fort Local","Seneca","Region 7","7635 N County Rd 51","Tiffin, OH, 44883","(419) 992-4291","Stephen J. Anway","97.1","A","34","35","94.4","83.6",""
"049759","Anna Local","Shelby","Region 6","PO Box 169","Anna, OH, 45302-0169","(937) 394-2011","Andrew A. Bixler","98.9","A","90","91","96.0","83.6",""
"049767","Botkins Local","Shelby","Region 6","404 E State St","Botkins, OH, 45306-8006","(937) 693-3756","Jeffrey T. McPheron","100.0","A","48","48","95.2","83.6",""
"049775","Fairlawn Local","Shelby","Region 6","18800 Johnston Rd","Sidney, OH, 45365-9755","(937) 492-1974","Jeffrey R. Hobbs","100.0","A","46","46","95.7","83.6",""
"049783","Fort Loramie Local","Shelby","Region 6","PO Box 26","Fort Loramie, OH, 45845-0026","(937) 295-3931","Daniel B. Holland","97.5","A","77","79","96.0","83.6",""
"049791","Hardin-Houston Local","Shelby","Region 6","5300 Houston Rd","Houston, OH, 45333-8630","(937) 295-3010","Larry J. Claypool","89.0","B","65","73","94.5","83.6",""
"049809","Jackson Center Local","Shelby","Region 6","PO Box 849","Jackson Center, OH, 45334-0849","(937) 596-6053","William M. Reichert","100.0","A","26","26","94.4","83.6",""
"049817","Russia Local","Shelby","Region 6","100 School St","Russia, OH, 45363-9811","(937) 295-3454","Steven J. Rose","100.0","A","44","44","98.0","83.6",""
"049833","Canton Local","Stark","Region 9","600 Faircrest St SE","Canton, OH, 44707-1118","(330) 484-8010","Stephen P. Milano","86.6","C","136","157","87.3","83.6",""
"049841","Fairless Local","Stark","Region 9","11885 Navarre Rd SW","Navarre, OH, 44662-9485","(330) 767-3577","Broc A. Bidlack","93.9","A","123","131","93.0","83.6",""
"049858","Jackson Local","Stark","Region 9","7602 Fulton Dr NW","Massillon, OH, 44646-9393","(330) 830-8000","Christopher A. Diloreto","98.4","A","508","516","95.5","83.6",""
"049866","Lake Local","Stark","Region 9","436 King Church Ave SW","Uniontown, OH, 44685-8220","(330) 877-9383","Kevin T. Tobin","96.4","A","271","281","94.8","83.6",""
"049874","Louisville City","Stark","Region 9","407 E Main St","Louisville, OH, 44641-1419","(330) 875-1666","Michele M. Shaffer","96.3","A","234","243","94.1","83.6",""
"049882","Marlington Local","Stark","Region 9","10320 Moulin Ave NE","Alliance, OH, 44601-5906","(330) 823-7458","Joseph A. Knoll","95.6","A","172","180","93.7","83.6",""
"049890","Minerva Local","Stark","Region 9","406 East St","Minerva, OH, 44657-1429","(330) 868-4332","Gary M. Chaddock","93.3","A","152","163","92.8","83.6",""
"049908","Northwest Local","Stark","Region 9","2309 Locust St S","Canal Fulton, OH, 44614-9389","(330) 854-2291","Michael R. Shreffler","95.1","A","136","143","94.7","83.6",""
"049916","Osnaburg Local","Stark","Region 9","310 Browning Ct N","East Canton, OH, 44730-1248","(330) 488-1609","Todd D. Boggs","93.5","A","58","62","93.2","83.6",""
"049924","Perry Local","Stark","Region 9","4201 13th St SW","Massillon, OH, 44646-3447","(330) 477-8121","Scott A. Beatty","97.2","A","383","394","92.3","83.6",""
"049932","Plain Local","Stark","Region 9","901 44th St NW","Canton, OH, 44709-1611","(330) 492-3500","Brent W. May","92.9","B","404","435","90.7","83.6",""
"049940","Sandy Valley Local","Stark","Region 9","5362 State Route 183 NE","Magnolia, OH, 44643-8481","(330) 866-3339","David J. Fischer","90.4","B","113","125","93.0","83.6",""
"049957","Tuslaw Local","Stark","Region 9","1835 Manchester Ave NW","Massillon, OH, 44647-9623","(330) 837-7813","Melissa M. Marconi","97.2","A","137","141","94.7","83.6",""
"049973","Woodridge Local","Summit","Region 8","4411 Quick Rd","Peninsula, OH, 44264-9706","(330) 928-9074","Walter C. Davis","92.2","B","130","141","94.1","83.6",""
"049981","Copley-Fairlawn City","Summit","Region 8","3797 Ridgewood Rd","Copley, OH, 44321-1665","(330) 664-4800","Brian E. Poe","96.1","A","248","258","96.1","83.6",""
"049999","Coventry Local","Summit","Region 8","2910 S Main St","Akron, OH, 44319-1849","(330) 644-8489","Russell A. Chaboudy","93.7","A","179","191","92.9","83.6",""
"050005","Manchester Local","Summit","Region 8","6075 Manchester Rd","Akron, OH, 44319-4654","(330) 882-6926","James E. Robinson","99.0","A","102","103","95.3","83.6",""
"050013","Green Local","Summit","Region 8","PO Box 218","Green, OH, 44232-0218","(330) 896-7500","Jeffrey L. Miller II","97.5","A","308","316","94.3","83.6",""
"050021","Hudson City","Summit","Region 8","2400 Hudson Aurora Rd","Hudson, OH, 44236-2322","(330) 653-1200","Phillip T. Herman","97.8","A","392","401","96.8","83.6",""
"050039","Mogadore Local","Summit","Region 8","1 S Cleveland Ave","Mogadore, OH, 44260-1514","(330) 628-9946","John A. Knapp","94.2","A","65","69","93.9","83.6",""
"050047","Nordonia Hills City","Summit","Region 8","9370 Olde Eight Rd","Northfield, OH, 44067","(330) 467-0580","Joseph P. Clark","97.2","A","313","322","95.2","83.6",""
"050054","Revere Local","Summit","Region 8","PO Box 340","Bath, OH, 44210-0340","(330) 666-4155","Matthew L. Montgomery","96.5","A","194","201","96.8","83.6",""
"050062","Springfield Local","Summit","Region 8","2410 Massillon Rd","Akron, OH, 44312-4258","(330) 798-1111","Charles Sincere","87.4","C","180","206","89.5","83.6",""
"050070","Twinsburg City","Summit","Region 8","11136 Ravenna Rd","Twinsburg, OH, 44087-1022","(330) 486-2000","Kathryn M. Powers","98.8","A","325","329","95.4","83.6",""
"050096","Bloomfield-Mespo Local","Trumbull","Region 5","2077 Park Rd W","North Bloomfield, OH, 44450-0730","(440) 685-4752","John R. Sheets","86.7","C","13","15","93.5","83.6",""
"050112","Bristol Local","Trumbull","Region 5","PO Box 260","Bristolville, OH, 44402-0260","(330) 889-3882","Christopher J. Dray","94.2","A","49","52","93.5","83.6",""
"050120","Brookfield Local","Trumbull","Region 5","614 Bedford Rd SE","Brookfield, OH, 44403-9756","(330) 448-4930","Velina J. Taylor","93.7","A","89","95","91.5","83.6",""
"050138","Champion Local","Trumbull","Region 5","5976 Mahoning Ave NW","Warren, OH, 44483-1144","(330) 847-2330","Pamela F. Hood","93.5","A","101","108","94.2","83.6",""
"050153","Mathews Local","Trumbull","Region 5","4096 Cadwallader Sonk Rd","Cortland, OH, 44410-9445","(330) 637-7000","Lewis L. Lowery","94.6","A","53","56","94.8","83.6",""
"050161","Howland Local","Trumbull","Region 5","8200 South St SE","Warren, OH, 44484-2447","(330) 856-8200","Kevin R. Spicher","88.2","C","194","220","94.0","83.6",""
"050179","Joseph Badger Local","Trumbull","Region 5","7119 State Route 7","Kinsman, OH, 44428-9788","(330) 876-2800","David D. Bair","87.1","C","54","62","94.5","83.6",""
"050187","Lakeview Local","Trumbull","Region 5","300 Hillman Dr","Cortland, OH, 44410-1562","(330) 637-8741","Robert A. Wilson","95.7","A","134","140","94.9","83.6",""
"050195","Liberty Local","Trumbull","Region 5","4115 Shady Rd","Youngstown, OH, 44505-1353","(330) 759-0807","Joseph S. Nohra","90.0","B","81","90","88.9","83.6",""
"050203","Lordstown Local","Trumbull","Region 5","1824 Salt Springs Rd","Warren, OH, 44481-9735","(330) 824-2534","Terry P. Armstrong","92.7","B","38","41","95.5","83.6",""
"050211","Maplewood Local","Trumbull","Region 5","2414 Greenville Rd","Cortland, OH, 44410-9648","(330) 637-7506","Perry D. Nicholas","100.0","A","60","60","92.9","83.6",""
"050229","McDonald Local","Trumbull","Region 5","600 Iowa Ave","Mc Donald, OH, 44437-1677","(330) 530-8051","Kevin R. O'Connell","94.2","A","65","69","95.0","83.6",""
"050237","Southington Local","Trumbull","Region 5","2482 State Route 534","Southington, OH, 44470-9524","(330) 898-7480","Rocco Nero","93.8","A","45","48","93.3","83.6",""
"050245","LaBrae Local","Trumbull","Region 5","1001 N Leavitt Rd","Leavittsburg, OH, 44430-9644","(330) 898-1393","Anthony J. Calderone","96.8","A","122","126","90.1","83.6",""
"050252","Weathersfield Local","Trumbull","Region 5","1334 Seaborn St","Mineral Ridge, OH, 44440-9571","(330) 652-0287","Damon J. Dohar","95.2","A","79","83","92.4","83.6",""
"050278","Garaway Local","Tuscarawas","Region 12","146 Dover Rd NW","Sugarcreek, OH, 44681-9309","(330) 852-2421","James A. Millet","92.7","B","76","82","93.8","83.6",""
"050286","Indian Valley Local","Tuscarawas","Region 12","PO Box 171","Gnadenhutten, OH, 44629-0171","(740) 254-4334","Gary I. Wentworth","96.7","A","117","121","93.0","83.6",""
"050294","Strasburg-Franklin Local","Tuscarawas","Region 12","140 N Bodmer Ave","Strasburg, OH, 44680-1122","(330) 878-5571","Cynthia L. Brown","100.0","A","54","54","94.5","83.6",""
"050302","Tuscarawas Valley Local","Tuscarawas","Region 12","2637 Tuscarawas Valley Rd NE","Zoarville, OH, 44656-9692","(330) 859-2213","Mark A. Murphy","96.6","A","114","118","94.2","83.6",""
"050328","Fairbanks Local","Union","Region 11","11158 State Route 38","Milford Center, OH, 43045-9764","(937) 349-3731","Robert J. Humble","96.4","A","80","83","96.4","83.6",""
"050336","North Union Local School District","Union","Region 11","12920 State Route 739","Richwood, OH, 43344-9728","(740) 943-2509","Richard J. Baird","93.7","A","104","111","93.0","83.6",""
"050351","Crestview Local","Van Wert","Region 1","531 E Tully St","Convoy, OH, 45832-8864","(419) 749-9100","Michael Y. Estes","98.2","A","54","55","94.8","83.6",""
"050369","Lincolnview Local","Van Wert","Region 1","15945 Middle Point Rd","Van Wert, OH, 45891-9769","(419) 968-2226","Jeffrey T. Snyder","100.0","A","66","66","94.5","83.6",""
"050393","Vinton County Local","Vinton","Region 16","307 W High St","Mc Arthur, OH, 45651-1093","(740) 596-5218","Rick L. Brooks","87.6","C","155","177","89.8","83.6",""
"050419","Carlisle Local","Warren","Region 13","724 Fairview Dr","Carlisle, OH, 45005-3148","(937) 746-0710","Larry R. Hook","90.8","B","108","119","94.4","83.6",""
"050427","Springboro Community City","Warren","Region 13","1685 S Main St","Springboro, OH, 45066-1524","(937) 748-3960","Daniel J. Schroer","95.6","A","414","433","96.6","83.6",""
"050435","Kings Local","Warren","Region 13","1797 King Ave","Kings Mills, OH, 45034","(513) 398-8050","Timothy A. Ackermann","93.2","A","288","309","96.4","83.6",""
"050443","Little Miami Local","Warren","Region 13","7247 Zoar Rd","Maineville, OH, 45039-8098","(513) 899-2264","Gregory Power","96.1","A","269","280","94.8","83.6",""
"050450","Mason City","Warren","Region 13","211 N East St","Mason, OH, 45040-1760","(513) 398-0474","Gail E. Kist","97.1","A","848","873","96.0","83.6",""
"050468","Wayne Local","Warren","Region 13","659 Dayton Rd","Waynesville, OH, 45068-9588","(513) 897-6971","Patrick E. Dubbs","97.4","A","113","116","95.9","83.6",""
"050484","Fort Frye Local","Washington","Region 16","510 5th St","Beverly, OH, 45715-8916","(740) 984-2497","Stephanie D. Starcher","96.0","A","72","75","91.8","83.6",""
"050492","Frontier Local","Washington","Region 16","44870 State Route 7","New Matamoras, OH, 45767-6149","(740) 865-3473","Brian J. Rentsch","92.5","B","49","53","94.6","83.6",""
"050500","Warren Local","Washington","Region 16","220 Sweetapple Rd","Vincent, OH, 45784-5005","(740) 678-2366","Kyle R. Newton","92.0","B","161","175","95.0","83.6",""
"050518","Wolf Creek Local","Washington","Region 16","PO Box 67","Waterford, OH, 45786-0067","(740) 984-2373","Douglas A. Baldwin","93.9","A","46","49","92.9","83.6",""
"050534","Chippewa Local","Wayne","Region 9","56 N Portage St","Doylestown, OH, 44230-1350","(330) 658-6368","Sandra J. Stebly","99.1","A","112","113","94.9","83.6",""
"050542","Dalton Local","Wayne","Region 9","PO Box 514","Dalton, OH, 44618-0514","(330) 828-2267","James R. Saxer","97.2","A","70","72","94.9","83.6",""
"050559","Green Local","Wayne","Region 9","PO Box 438","Smithville, OH, 44677-0438","(330) 669-3921","Dean E. Frank","95.1","A","97","102","95.0","83.6",""
"050567","Norwayne Local","Wayne","Region 9","350 S Main St","Creston, OH, 44217-9665","(330) 435-6382","Karen E. O'Hare","92.4","B","85","92","94.1","83.6",""
"050575","Northwestern Local","Wayne","Region 9","7571 N Elyria Rd","West Salem, OH, 44287-9707","(419) 846-3151","Jeffrey N. Layton","94.4","A","85","90","93.3","83.6",""
"050583","Southeast Local","Wayne","Region 9","9048 Dover Rd","Apple Creek, OH, 44606-9408","(330) 698-3001","James J. Ritchie","96.2","A","101","105","93.0","83.6",""
"050591","Triway Local","Wayne","Region 9","3205 Shreve Rd","Wooster, OH, 44691-4439","(330) 264-9491","Nathan G. Schindewolf","94.7","A","124","131","93.2","83.6",""
"050617","Edgerton Local","Williams","Region 1","111 E River St","Edgerton, OH, 43517-9623","(419) 298-2112","Kermit E. Riehle","98.0","A","50","51","94.1","83.6",""
"050625","Edon Northwest Local","Williams","Region 1","802 W Indiana St","Edon, OH, 43518-9627","(419) 272-3213","Anthony J. Stevens","94.1","A","32","34","94.8","83.6",""
"050633","Millcreek-West Unity Local","Williams","Region 1","1401 W Jackson St","West Unity, OH, 43570-9465","(419) 924-2365","Larry E. Long","94.0","A","47","50","93.9","83.6",""
"050641","North Central Local","Williams","Region 1","400 E Baubice St","Pioneer, OH, 43554-9637","(419) 737-2392","William D. Hanak","93.8","A","30","32","95.4","83.6",""
"050658","Stryker Local","Williams","Region 1","400 S Defiance St","Stryker, OH, 43557-9307","(419) 682-6961","Nate R. Johnson","100.0","A","27","27","94.7","83.6",""
"050674","Eastwood Local","Wood","Region 1","4800 Sugar Ridge Rd","Pemberville, OH, 43450-9626","(419) 833-6411","William B. Welker","97.7","A","127","130","96.1","83.6",""
"050682","Elmwood Local","Wood","Region 1","7650 Jerry City Rd","Bloomdale, OH, 44817-9763","(419) 655-2583","Tony D. Borton","97.8","A","88","90","95.3","83.6",""
"050690","Lake Local","Wood","Region 1","28090 Lemoyne Rd","Millbury, OH, 43447-9747","(419) 661-6690","James T. Witt","90.9","B","120","132","93.2","83.6",""
"050708","North Baltimore Local","Wood","Region 1","201 S Main St","North Baltimore, OH, 45872-1354","(419) 257-3531","Ryan G. Delaney","94.7","A","54","57","92.8","83.6",""
"050716","Northwood Local Schools","Wood","Region 1","600 Lemoyne Rd","Northwood, OH, 43619-1810","(419) 691-3888","Gregory A. Clark","94.0","A","78","83","92.0","83.6",""
"050724","Otsego Local","Wood","Region 1","18505 Tontogany Creek Rd Ste 1","Bowling Green, OH, 43402-0290","(419) 823-4381","Adam E. Koch","95.7","A","110","115","95.7","83.6",""
"050740","Mohawk Local","Wyandot","Region 7","295 State Highway 231","Sycamore, OH, 44882-9434","(419) 927-2414","Kenneth D. Ratliff","97.1","A","68","70","95.7","83.6",""
"061903","Adams County Ohio Valley Local","Adams","Region 14","141 Lloyd Rd","West Union, OH, 45693-8974","(937) 544-5586","Richard A. Seas","91.6","B","274","299","93.1","83.6",""
"065680","Gallia County Local","Gallia","Region 16","4836 State Route 325","Patriot, OH, 45658-8960","(740) 379-9085","Jude E. Meyers","96.3","A","154","160","89.0","83.6",""
"069682","East Guernsey Local","Guernsey","Region 12","PO Box 128","Old Washington, OH, 43768-0128","(740) 489-5190","Adam M. Pittis","94.8","A","73","77","93.8","83.6",""
"091397","Tri-County North Local","Preble","Region 10","436 N Commerce St","Lewisburg, OH, 45338-0040","(937) 962-2671","William K. Derringer","92.4","B","85","92","95.0","83.6",""
"139303","Monroe Local","Butler","Region 13","500 Yankee Rd","Monroe, OH, 45050-1068","(513) 539-2536","Philip F. Cagwin","95.6","A","151","158","93.3","83.6",""
